transaction_id,timestamp,from_bank,account,to_bank,counterparty_account,amount_received,receiving_currency,amount_paid,payment_currency,payment_format,is_laundering,split
54384,2022-09-01 00:04:00,119,811C597B0,48309,811C599A0,34254.65,Saudi Riyal,34254.65,Saudi Riyal,ACH,1,train
283043,2022-09-01 00:25:00,48309,811C599A0,48309,811C599A0,662658.0,Saudi Riyal,662658.0,Saudi Riyal,Reinvestment,0,train
315947,2022-09-01 00:28:00,48309,811C599A0,48309,811C599A0,32.19,Saudi Riyal,32.19,Saudi Riyal,Reinvestment,0,train
527088,2022-09-01 06:27:00,348642,811C599F0,48309,811C599A0,48936.67,Saudi Riyal,48936.67,Saudi Riyal,Wire,0,train
538487,2022-09-01 06:47:00,150240,812D22980,48309,811C599A0,27247.23,Saudi Riyal,27247.23,Saudi Riyal,ACH,1,train
869338,2022-09-01 16:40:00,223,811B8EE20,48309,811C599A0,1024.32,Saudi Riyal,1024.32,Saudi Riyal,Cheque,0,train
869339,2022-09-01 16:40:00,223,811B8EE20,48309,811C599A0,771.96,Saudi Riyal,771.96,Saudi Riyal,ACH,0,train
872101,2022-09-01 16:45:00,223,811B8EE20,48309,811C599A0,635.74,Saudi Riyal,635.74,Saudi Riyal,Credit Card,0,train
948059,2022-09-01 19:01:00,48309,811C599A0,119,81235CFE0,27283.98,Saudi Riyal,27283.98,Saudi Riyal,Credit Card,0,train
951366,2022-09-01 19:07:00,48309,811C599A0,119,81235CFE0,793016.06,Saudi Riyal,793016.06,Saudi Riyal,Cash,0,train
951367,2022-09-01 19:07:00,48309,811C599A0,119,81235CFE0,90922.81,Saudi Riyal,90922.81,Saudi Riyal,ACH,0,train
952488,2022-09-01 19:09:00,48309,811C599A0,119,81235CFE0,1656547.8,Saudi Riyal,1656547.8,Saudi Riyal,Cheque,0,train
954693,2022-09-01 19:13:00,48309,811C599A0,119,81235CFE0,391227.05,Saudi Riyal,391227.05,Saudi Riyal,Wire,0,train
961867,2022-09-01 19:27:00,150240,812D22980,48309,811C599A0,5971.98,Saudi Riyal,5971.98,Saudi Riyal,ACH,1,train
1062305,2022-09-01 22:26:00,48309,811C599A0,119,811C597B0,48972.89,Saudi Riyal,48972.89,Saudi Riyal,ACH,1,train
1334936,2022-09-02 06:37:00,150240,812D22980,48309,811C599A0,60056.52,Saudi Riyal,60056.52,Saudi Riyal,ACH,1,train
1505586,2022-09-02 12:11:00,48309,811C599A0,119,811C597B0,25324.89,Saudi Riyal,25324.89,Saudi Riyal,ACH,1,train
1546680,2022-09-02 13:30:00,119,811BBCB10,48309,811C599A0,55470.87,Saudi Riyal,55470.87,Saudi Riyal,Wire,0,train
1550305,2022-09-02 13:37:00,119,811BBCB10,48309,811C599A0,231584.49,Saudi Riyal,231584.49,Saudi Riyal,Cheque,0,train
1627880,2022-09-02 16:07:00,48309,811C599A0,119,811C597B0,796.07,Saudi Riyal,796.07,Saudi Riyal,ACH,1,train
1794751,2022-09-02 21:33:00,223,811B8EE20,48309,811C599A0,771.96,Saudi Riyal,771.96,Saudi Riyal,ACH,0,train
